"NO3_euphotic","date"
0.404436603277014,1995-11-08
1.71529312152149,1995-12-13
3.51859955648089,1996-01-12
4.03495164732055,1996-02-13
3.39150215381606,1996-03-13
3.75394432590439,1996-04-16
7.58308596660957,1996-05-09
3.20430016498492,1996-06-12
2.44928446552925,1996-07-10
2.66239412023873,1996-08-06
1.01400939211251,1996-09-10
3.0292700878233,1996-10-09
2.78678629406324,1996-11-10
4.55222956558798,1997-01-07
6.15650095268378,1997-02-13
8.4188536580502,1997-03-13
6.60759339984082,1997-04-15
6.72888189922046,1997-05-10
1.83354447270988,1997-06-17
6.08812573389719,1997-07-08
1.54846198243097,1997-09-17
1.5439397734749,1997-11-13
2.81212170217391,1997-12-17
1.31649780425381,1998-02-11
4.65582756545999,1998-03-12
1.63574563844698,1998-04-21
0.515713198890961,1998-06-09
3.61058920245281,1998-07-09
0.174327024972194,1998-08-05
0.394546140236169,1998-09-01
0.804094974361065,1998-10-14
2.73464194854818,1999-01-12
3.1437377167384,1999-02-10
2.15538369353997,1999-03-04
0.773431585240096,1999-04-07
1.27273019014707,1999-05-06
1.89099193827458,1999-06-08
1.25106062920682,1999-07-15
0.599269448306668,1999-08-11
0.211632697453498,1999-09-14
0.140519518486333,1999-12-07
2.21821935982337,2000-01-11
2.94116162465722,2000-02-08
4.53084202051824,2000-03-09
1.54420979276845,2000-04-11
3.21690995016987,2000-05-11
1.15796994212315,2000-06-06
5.73264018941801,2000-07-07
0.0441247623348311,2000-08-09
0.457515150152756,2000-09-12
0.311059947784888,2000-10-10
0.307550512065222,2000-11-03
1.54884399719224,2000-12-05
2.41592247333407,2001-01-11
4.07419174766988,2001-02-16
4.78239878609596,2001-03-14
1.92060776049829,2001-04-04
1.50564988848243,2001-05-05
2.71601339780003,2001-06-12
2.76978308349162,2001-07-10
0.0424872075832747,2001-08-07
0.318808655779509,2001-09-12
2.0584363810598,2001-10-09
0.849796713122069,2001-12-11
0.715117624786348,2002-01-10
2.25780456649513,2002-02-14
6.08612961333949,2002-03-12
2.16791070943295,2002-04-02
0.386411161029692,2002-05-07
0.462879152152081,2002-06-12
7.45963846889577,2002-07-09
0.467377071664218,2002-08-06
0.768105334299661,2002-10-03
0.68128474528573,2002-11-07
5.40932934814871,2002-12-05
2.59471719463462,2003-01-14
2.94874711763477,2003-02-11
2.93896948585857,2003-03-11
0.822571605495024,2003-04-08
4.62949766960109,2003-05-13
0.586072041154784,2003-06-10
1.56623864557007,2003-07-08
1.54269050878559,2003-08-04
0.617300721884516,2003-09-09
0.218013902730687,2003-11-11
0.16887393946474,2003-12-09
1.94088658893795,2004-01-13
1.57896445609349,2004-02-08
